Player,Span,Mat,Inns,Balls,Runs,Wkts,Ave,Econ,SR,4,5
M Muralitharan (Asia/ICC/SL),1993-2011,350,341,18811,12326,534,23.08,3.93,35.2,15,10
Wasim Akram (PAK),1984-2003,356,351,18186,11812,502,23.52,3.89,36.2,17,6
Waqar Younis (PAK),1989-2003,262,258,12698,9919,416,23.84,4.68,30.5,14,13
WPUJC Vaas (Asia/SL),1994-2008,322,320,15775,11014,400,27.53,4.18,39.4,9,4
Shahid Afridi (Asia/ICC/PAK),1996-2015,398,372,17670,13632,395,34.51,4.62,44.7,4,9
SM Pollock (Afr/ICC/SA),1996-2008,303,297,15712,9631,393,24.5,3.67,39.9,12,5
GD McGrath (AUS/ICC),1993-2007,250,248,12970,8391,381,22.02,3.88,34,9,7
B Lee (AUS),2000-2012,221,217,11185,8877,380,23.36,4.76,29.4,14,9
SL Malinga (SL),2004-2019,226,220,10936,9760,338,28.87,5.35,32.3,11,8
A Kumble (Asia/INDIA),1990-2007,271,265,14496,10412,337,30.89,4.3,43,8,2
ST Jayasuriya (Asia/SL),1989-2011,445,368,14874,11871,323,36.75,4.78,46,8,4
J Srinath (INDIA),1991-2003,229,227,11935,8847,315,28.08,4.44,37.8,7,3
DL Vettori (ICC/NZ),1997-2015,295,277,14060,9674,305,31.71,4.12,46,8,2
SK Warne (AUS/ICC),1993-2005,194,191,10642,7541,293,25.73,4.25,36.3,12,1
Saqlain Mushtaq (PAK),1995-2003,169,165,8770,6275,288,21.78,4.29,30.4,11,6
AB Agarkar (INDIA),1998-2007,191,188,9484,8021,288,27.85,5.07,32.9,10,2
Shakib Al Hasan (BAN),2006-2022,221,218,11351,8401,285,29.47,4.44,39.8,9,3
Z Khan (Asia/INDIA),2000-2012,200,197,10097,8301,282,29.43,4.93,35.8,7,1
JH Kallis (Afr/ICC/SA),1996-2014,328,283,10750,8680,273,31.79,4.84,39.3,2,2
AA Donald (SA),1991-2003,164,162,8561,5926,272,21.78,4.15,31.4,11,2
Mashrafe Mortaza (Asia/BAN),2001-2020,220,220,10922,8893,270,32.93,4.88,40.4,7,1
JM Anderson (ENG),2002-2015,194,191,9584,7861,269,29.22,4.92,35.6,11,2
Abdul Razzaq (Asia/PAK),1996-2011,265,254,10941,8564,269,31.83,4.69,40.6,8,3
Harbhajan Singh (Asia/INDIA),1998-2015,236,227,12479,8973,269,33.35,4.31,46.3,2,3
M Ntini (ICC/SA),1998-2009,173,171,8687,6559,266,24.65,4.53,32.6,8,4
N Kapil Dev (INDIA),1978-1994,225,221,11202,6945,253,27.45,3.71,44.2,3,1
Shoaib Akhtar (Asia/ICC/PAK),1998-2011,163,162,7764,6169,247,24.97,4.76,31.4,6,4
KD Mills (NZ),2001-2015,170,169,8230,6485,240,27.02,4.72,34.2,8,1
MG Johnson (AUS),2005-2015,153,150,7489,6038,239,25.26,4.83,31.3,9,3
HH Streak (Afr/ZIM),1993-2005,189,185,9468,7129,239,29.82,4.51,39.6,7,1
D Gough (ENG/ICC),1994-2006,159,156,8470,6209,235,26.42,4.39,36,10,2
CA Walsh (WI),1985-2000,205,204,10822,6918,227,30.47,3.83,47.6,6,1
CEL Ambrose (WI),1988-2000,176,175,9353,5429,225,24.12,3.48,41.5,6,4
Abdur Razzak (BAN),2004-2014,153,152,7965,6065,207,29.29,4.56,38.4,5,4
CJ McDermott (AUS),1985-1996,138,138,7461,5018,203,24.71,4.03,36.7,4,1
CZ Harris (NZ),1990-2004,250,232,10667,7613,203,37.5,4.28,52.5,2,1
CL Cairns (ICC/NZ),1991-2006,215,186,8168,6594,201,32.8,4.84,40.6,3,1
DJ Bravo (WI),2004-2014,164,150,6511,5874,199,29.51,5.41,32.7,6,1
KMDN Kulasekara (SL),2003-2017,184,181,8263,6751,199,33.92,4.9,41.5,4,1
DW Steyn (Afr/SA),2005-2019,125,124,6256,5087,196,25.95,4.87,31.9,4,3
BKV Prasad (INDIA),1994-2001,161,160,8129,6332,196,32.3,4.67,41.4,3,1
MA Starc (AUS),2010-2021,99,99,5099,4379,195,22.45,5.15,26.1,11,8
SR Waugh (AUS),1986-2002,325,207,8883,6761,195,34.67,4.56,45.5,3,0
CL Hooper (WI),1987-2003,227,203,9573,6958,193,36.05,4.36,49.6,3,0
L Klusener (SA),1996-2004,171,164,7336,5751,192,29.95,4.7,38.2,1,6
TG Southee (NZ),2008-2020,143,141,7195,6558,190,34.51,5.46,37.8,4,3
M Morkel (Afr/SA),2007-2018,117,114,5760,4761,188,25.32,4.95,30.6,7,2
RA Jadeja (INDIA),2009-2020,168,164,8557,7024,188,37.36,4.92,45.5,7,1
CRD Fernando (Asia/SL),2001-2012,147,141,6507,5648,187,30.2,5.2,34.7,3,1
Saeed Ajmal (PAK),2008-2015,113,112,6000,4182,184,22.72,4.18,32.6,6,2
Imran Khan (PAK),1974-1992,175,153,7461,4844,182,26.61,3.89,40.9,3,1
Aaqib Javed (PAK),1988-1998,163,159,8012,5721,182,31.43,4.28,44,2,4
Umar Gul (PAK),2003-2016,130,128,6064,5253,179,29.34,5.19,33.8,4,2
SCJ Broad (ENG),2006-2016,121,121,6109,5364,178,30.13,5.26,34.3,9,1
NLTC Perera (SL),2009-2021,166,157,5900,5740,175,32.8,5.83,33.7,5,4
NW Bracken (AUS),2001-2009,116,116,5759,4240,174,24.36,4.41,33,5,2
Imran Tahir (SA),2011-2019,107,104,5541,4297,173,24.83,4.65,32,7,3
JDP Oram (NZ),2001-2012,160,154,6911,5047,173,29.17,4.38,39.9,3,2
IK Pathan (INDIA),2004-2012,120,118,5855,5142,173,29.72,5.26,33.8,5,2
A Flintoff (ENG/ICC),1999-2009,141,119,5624,4121,169,24.38,4.39,33.2,6,2
TA Boult (NZ),2012-2021,93,93,5117,4261,169,25.21,4.99,30.2,8,5
SR Watson (AUS),2002-2015,190,163,6466,5342,168,31.79,4.95,38.4,3,0
CH Gayle (ICC/WI),1999-2019,301,199,7424,5926,167,35.48,4.78,44.4,3,1
Mushtaq Ahmed (PAK),1989-2003,144,142,7543,5361,161,33.29,4.26,46.8,3,1
AU Rashid (ENG),2009-2021,112,106,5573,5251,159,33.02,5.65,35,7,2
RJ Hadlee (NZ),1973-1990,115,112,6182,3407,158,21.56,3.3,39.1,1,5
Shoaib Malik (PAK),1999-2019,287,217,7958,6192,158,39.18,4.66,50.3,1,0
MD Marshall (WI),1980-1992,136,134,7175,4233,157,26.96,3.53,45.7,6,0
M Prabhakar (INDIA),1984-1996,130,127,6360,4534,157,28.87,4.27,40.5,4,2
A Nehra (Asia/INDIA),2001-2011,120,120,5751,4981,157,31.72,5.19,36.6,5,2
GB Hogg (AUS),1996-2008,123,113,5564,4188,156,26.84,4.51,35.6,3,2
CR Woakes (ENG),2011-2021,106,102,5016,4567,155,29.46,5.46,32.3,10,3
SR Tendulkar (INDIA),1989-2012,463,270,8054,6850,154,44.48,5.1,52.2,4,2
BAW Mendis (SL),2008-2015,87,84,4154,3324,152,21.86,4.8,27.3,7,3
Rashid Khan (AFG),2015-2022,80,76,4074,2821,151,18.68,4.15,26.9,5,4
UDU Chandana (SL),1994-2007,147,136,6142,4818,151,31.9,4.7,40.6,4,1
R Ashwin (INDIA),2010-2022,113,111,6141,5058,151,33.49,4.94,40.6,1,0
